Timestamp,Device,Step,Status,Coordinates,ExecutionTimeMs,Details
2026-07-08 12:40:46,mock,Wait Boot Completed,PASS,N/A,1502,System booted successfully
2026-07-08 12:40:46,mock,Detect Boot Logo,PASS,"(540,260)",159,Logo found with 100.00% confidence
2026-07-08 12:40:47,mock,Logo Disappear Check,PASS,N/A,1103,Logo disappeared; disclaimer screen active
2026-07-08 12:40:47,mock,Detect Button (OK),PASS,"(910,545)",84,Found 'OK' via template_matching (Confidence: 100.00%)
2026-07-08 12:40:48,mock,Execute Tap,PASS,"(910,545)",1,Tapped button 'OK' successfully
2026-07-08 12:40:50,mock,Verify Screen Transition,PASS,N/A,2014,Disclaimer dismissed successfully. Next screen verified.
2026-07-08 13:08:18,mock,Wait Boot Completed,PASS,N/A,1503,System booted successfully
2026-07-08 13:08:18,mock,Detect Boot Logo,PASS,"(540,260)",193,Logo found with 100.00% confidence
2026-07-08 13:08:19,mock,Logo Disappear Check,PASS,N/A,1147,Logo disappeared; disclaimer screen active
2026-07-08 13:08:19,mock,Detect Button (OK),PASS,"(910,545)",116,Found 'OK' via template_matching (Confidence: 100.00%)
2026-07-08 13:08:19,mock,Execute Tap,PASS,"(910,545)",1,Tapped button 'OK' successfully
2026-07-08 13:08:21,mock,Verify Screen Transition,PASS,N/A,2007,Disclaimer dismissed successfully. Next screen verified.
2026-07-08 13:09:54,mock,Wait Boot Completed,PASS,N/A,1502,System booted successfully
2026-07-08 13:09:55,mock,Detect Boot Logo,PASS,"(540,260)",678,Logo found with 100.00% confidence
2026-07-08 13:09:56,mock,Logo Disappear Check,PASS,N/A,1532,Logo disappeared; disclaimer screen active
2026-07-08 13:09:57,mock,Detect Button (OK),PASS,"(910,545)",519,Found 'OK' via template_matching (Confidence: 100.00%)
2026-07-08 13:09:57,mock,Execute Tap,PASS,"(910,545)",1,Tapped button 'OK' successfully
2026-07-08 13:09:59,mock,Verify Screen Transition,PASS,N/A,2008,Disclaimer dismissed successfully. Next screen verified.
2026-07-08 13:10:40,mock,Wait Boot Completed,PASS,N/A,1537,System booted successfully
2026-07-08 13:10:41,mock,Detect Boot Logo,PASS,"(540,260)",1125,Logo found with 100.00% confidence
2026-07-08 13:12:47,mock,Wait Boot Completed,PASS,N/A,1502,System booted successfully
2026-07-08 13:12:47,mock,Detect Boot Logo,PASS,"(540,260)",841,Logo found with 100.00% confidence
2026-07-08 13:12:49,mock,Logo Disappear Check,PASS,N/A,1397,Logo disappeared; disclaimer screen active
2026-07-08 13:12:49,mock,Detect Button (OK),PASS,"(910,545)",447,Found 'OK' via template_matching (Confidence: 100.00%)
2026-07-08 13:12:49,mock,Execute Tap,PASS,"(910,545)",2,Tapped button 'OK' successfully
2026-07-08 13:12:52,mock,Verify Screen Transition,PASS,N/A,2004,Disclaimer dismissed successfully. Next screen verified.
2026-07-08 13:14:28,mock,Wait Boot Completed,PASS,N/A,1504,System booted successfully
2026-07-08 13:14:29,mock,Detect Boot Logo,PASS,"(540,260)",781,Logo found with 100.00% confidence
2026-07-08 13:14:31,mock,Logo Disappear Check,PASS,N/A,1509,Logo disappeared; disclaimer screen active
2026-07-08 13:14:31,mock,Detect Button (OK),PASS,"(910,545)",483,Found 'OK' via template_matching (Confidence: 100.00%)
2026-07-08 13:14:31,mock,Execute Tap,PASS,"(910,545)",1,Tapped button 'OK' successfully
